29235607,FOREG27,292,35607,60,24,G8,2022,TSHE,1,267,NURSE
29235606,FOREG27,292,35606,61,28,G8,2022,TSHE,1,221,NURSE
29235677,FOREG27,292,35677,57,38,F7,2022,BENE,1,111,
29235622,FOREG27,292,35622,82,2,G10,2022,TSHE,1,564,"NURSE, OUT OF PLOT"
29235667,FOREG27,292,35667,88,61,I4,2022,BENE,1,149,
29235627,FOREG27,292,35627,41,70,E3,2022,TSHE,1,182,
29235601,FOREG27,292,35601,50,96,E1,2022,TSHE,1,147,NURSE
292VAPA1,FOREG27,292,VAPA1,52,95,F1,2022,VAPA,1,34,
29235643,FOREG27,292,35643,79,89,H2,2022,VAPA,1,163,LH
29335436,FOREG27,293,35436,84,96,I1,2022,TSHE,1,682,
29335165,FOREG27,293,35165,95,95,J1,2022,TSHE,1,696,
29335499,FOREG27,293,35499,59,81,F3,2022,TSHE,1,356,
29335470,FOREG27,293,35470,49,65,E4,2022,TSHE,1,491,
29335412,FOREG27,293,35412,80,24,H8,2022,TSHE,1,591,
29335476,FOREG27,293,35476,71,42,G7,2022,TSHE,1,236,UWD
29335457,FOREG27,293,35457,71,29,H8,2022,TSHE,1,397,
29335443,FOREG27,293,35443,1,17,A9,2022,BENE,1,95,
29335419,FOREG27,293,35419,1,33,A7,2022,BENE,1,148,
29335458,FOREG27,293,35458,12,74,B4,2022,BENE,1,52,
29335487,FOREG27,293,35487,16,88,B2,2022,BENE,1,74,
293BENE1,FOREG27,293,BENE1,18,68,B4,2022,BENE,3,47,TS
29435652,FOREG27,294,35652,52,3,F10,2022,CHUM,1,156,
29435646,FOREG27,294,35646,16,40,B7,2022,CHUM,1,346,
29435608,FOREG27,294,35608,20,48,C6,2022,CHUM,1,264,
29435612,FOREG27,294,35612,24,47,C6,2022,CHUM,1,208,
29435684,FOREG27,294,35684,22,52,C5,2022,CHUM,1,257,
29435671,FOREG27,294,35671,25,61,C4,2022,CHUM,1,172,
29435628,FOREG27,294,35628,27,65,C4,2022,CHUM,1,75,
29435656,FOREG27,294,35656,29,68,C4,2022,CHUM,1,42,HERBIVORY
29435683,FOREG27,294,35683,31,66,D4,2022,CHUM,1,40,HERBIVORY
29435674,FOREG27,294,35674,1,82,A2,2022,CHUM,1,145,B
29435695,FOREG27,294,35695,11,90,B1,2022,CHUM,1,153,
29435623,FOREG27,294,35623,7,94,A1,2022,CHUM,1,200,
29435645,FOREG27,294,35645,19,99,B1,2022,CHUM,1,329,
29435634,FOREG27,294,35634,64,81,G2,2022,CHUM,1,182,
29435624,FOREG27,294,35624,85,97,I1,2022,THPL,1,850,B
29435613,FOREG27,294,35613,84,91,I1,2022,CHUM,1,44,R
29435648,FOREG27,294,35648,98,62,J4,2022,CHUM,1,149,B
29435605,FOREG27,294,35605,99,57,J5,2022,CHUM,1,147,
29435680,FOREG27,294,35680,94,47,J6,2022,CHUM,1,51,R
29435691,FOREG27,294,35691,95,47,J6,2022,CHUM,1,204,
29435618,FOREG27,294,35618,87,49,I6,2022,CHUM,1,339,
29435633,FOREG27,294,35633,96,39,J7,2022,CHUM,1,143,POT HERBIVORY
29435700,FOREG27,294,35700,94,28,J8,2022,CHUM,1,177,POT HERBIVORY
29435616,FOREG27,294,35616,67,10,G9,2022,THPL,1,495,
29435621,FOREG27,294,35621,52,15,F9,2022,THPL,1,697,
29445050,FOREG27,294,45050,98,81,J2,2022,CHUM,1,19,
29445037,FOREG27,294,45037,35,62,D4,2022,CHUM,1,62,HERBIVORY
29445036,FOREG27,294,45036,34,60,D4,2022,CHUM,1,52,HERBIVORY
29445017,FOREG27,294,45017,11,41,B6,2022,CHUM,1,42,R
29445058,FOREG27,294,45058,14,48,B6,2022,CHUM,1,16,HERBIVORY
29445033,FOREG27,294,45033,51,11,F9,2022,CHUM,1,67,
29445055,FOREG27,294,45055,31,44,D6,2022,CHUM,1,107,
29412841,FOREG27,294,12841,52,60,F4,2022,CHUM,1,88,
29410389,FOREG27,294,10389,18,51,B5,2022,CHUM,1,76,
29410375,FOREG27,294,10375,21,15,B9,2022,CHUM,1,132,
29410314,FOREG27,294,10314,55,22,F8,2022,CHUM,1,72,
29412893,FOREG27,294,12893,16,9,B10,2022,CHUM,3,47,
29412866,FOREG27,294,12866,29,12,C9,2022,CHUM,3,32,
29412872,FOREG27,294,12872,30,22,D8,2022,CHUM,3,75,
29412845,FOREG27,294,12845,75,81,H2,2022,CHUM,3,41,
29412848,FOREG27,294,12848,82,62,I4,2022,CHUM,3,48,
29412890,FOREG27,294,12890,51,10,F9,2022,CHUM,3,53,
29412846,FOREG27,294,12846,46,11,E9,2022,CHUM,3,39,
29412837,FOREG27,294,12837,72,20,H8,2022,CHUM,3,57,
29412888,FOREG27,294,12888,63,18,G9,2022,CHUM,3,40,
29412889,FOREG27,294,12889,79,48,H6,2022,CHUM,3,47,
294CHUM3,FOREG27,294,CHUM3,83,79,I3,2022,CHUM,3,23,
29535669,FOREG27,295,35669,5,37,A7,2022,VAPA,1,196,
29535657,FOREG27,295,35657,10,44,B6,2022,VAPA,1,190,
29535697,FOREG27,295,35697,14,19,B9,2022,VAPA,1,305,
29535644,FOREG27,295,35644,31,57,E5,2022,BENE,1,381,
29535629,FOREG27,295,35629,54,17,F10,2022,CHUM,1,252,
29545028,FOREG27,295,45028,57,6,F10,2022,VAPA,1,111,
29535675,FOREG27,295,35675,57,77,F3,2022,BENE,1,310,
29535787,FOREG27,295,35787,76,9,H10,2022,TSHE,1,1081,
29535717,FOREG27,295,35717,88,75,I3,2022,VAPA,1,196,
29635794,FOREG27,296,35794,9,23,A8,2022,CHUM,1,340,
29635769,FOREG27,296,35769,6,14,A9,2022,CHUM,1,266,C2
29635766,FOREG27,296,35766,7,6,A1,2022,CHUM,1,240,
29635798,FOREG27,296,35798,12,10,B9,2022,CHUM,1,287,
29635749,FOREG27,296,35749,19,37,B7,2022,CHUM,1,179,
29635785,FOREG27,296,35785,21,37,C7,2022,CHUM,1,129,
29635740,FOREG27,296,35740,27,29,C8,2022,CHUM,1,140,
29635751,FOREG27,296,35751,9,40,A6,2022,CHUM,1,110,
29635775,FOREG27,296,35775,6,46,A6,2022,CHUM,1,200,
29635782,FOREG27,296,35782,15,85,B2,2022,BENE,1,227,
29635780,FOREG27,296,35780,32,62,D4,2022,CHUM,1,231,
29635788,FOREG27,296,35788,30,50,D5,2022,CHUM,1,170,
29635778,FOREG27,296,35778,26,50,C5,2022,BENE,1,442,
29635731,FOREG27,296,35731,30,30,D7,2022,CHUM,1,265,
29635746,FOREG27,296,35746,41,18,E9,2022,BENE,1,458,
29635737,FOREG27,296,35737,25,6,C10,2022,BENE,1,384,
29635745,FOREG27,296,35745,32,5,D10,2022,CHUM,1,312,
29635703,FOREG27,296,35703,42,25,E8,2022,BENE,1,275,
29635744,FOREG27,296,35744,51,7,F10,2022,CHUM,1,205,
29635732,FOREG27,296,35732,61,20,F9,2022,CHUM,1,248,
29635702,FOREG27,296,35702,95,16,J9,2022,BENE,1,359,
29635728,FOREG27,296,35728,89,17,I9,2022,BENE,1,384,
29635795,FOREG27,296,35795,79,26,H8,2022,BENE,1,321,
29635750,FOREG27,296,35750,90,27,J8,2022,BENE,1,275,
29635779,FOREG27,296,35779,76,46,H6,2022,CHUM,1,285,
29635776,FOREG27,296,35776,96,58,A7,2022,CHUM,1,209,
29635724,FOREG27,296,35724,91,64,J4,2022,CHUM,1,220,
29635726,FOREG27,296,35726,88,68,I4,2022,BENE,1,146,
29635764,FOREG27,296,35764,53,100,E1,2022,BENE,1,326,
29635741,FOREG27,296,35741,53,81,F2,2022,CHUM,1,167,
29635729,FOREG27,296,35729,77,81,H2,2022,CHUM,1,300,
