_element_key,_element_name,_element_type,_list_child_element_keys
HerbID,HerbID,string,[]
avgcell,avgcell,string,[]
comment_custom,comment_custom,string,[]
cover,cover,integer,[]
herb_species,herb_species,string,[]
plot,plot,integer,[]
stand,stand,string,[]
stemcount,stemcount,integer,[]
